WAHLKREIS,WAHL_DATUM,'SPÖ','ÖVP','GRÜNE','FPÖ'
Freistadt                     ,2002-11-24,1712,1889,568,347
Liebenau                      ,2002-11-24,391,697,30,57
Wartberg ob der Aist          ,2002-11-24,1031,892,229,259
Bad Zell                      ,2002-11-24,419,949,177,130
St.Konrad                     ,2002-11-24,200,346,45,47
Bezirk Eferding                      ,2002-11-24,7174,8435,1302,2077
Wahlkreis Mühlviertel                   ,2002-11-24,55749,87131,14098,12721
Aspach                        ,2002-11-24,302,851,60,161
Aigen im Mühlkreis            ,2002-11-24,335,629,84,97
Lichtenau im Mühlkreis        ,2002-11-24,83,230,9,28
Peilstein im Mühlviertel      ,2002-11-24,259,657,34,80
St.Martin im Mühlkreis        ,2002-11-24,610,1151,199,170
Bad Schallerbach              ,2002-11-24,786,956,154,240
Hofkirchen an der Trattnach   ,2002-11-24,230,479,37,111
Kallham                       ,2002-11-24,495,787,78,223
Natternbach                   ,2002-11-24,480,766,67,132
Taufkirchen an der Trattnach  ,2002-11-24,317,617,61,193
Wendling                      ,2002-11-24,75,305,26,82
Edlbach                       ,2002-11-24,118,225,15,37
Nußbach                       ,2002-11-24,356,799,73,97
Oberschlierbach               ,2002-11-24,100,142,24,15
Roßleithen                    ,2002-11-24,442,473,72,127
Hörsching                     ,2002-11-24,1436,1272,248,412
Piberbach                     ,2002-11-24,459,432,58,100
Mitterkirchen im Machland     ,2002-11-24,369,606,54,76
Windhaag bei Perg             ,2002-11-24,196,525,46,56
Andrichsfurt                  ,2002-11-24,63,262,11,82
Geinberg                      ,2002-11-24,190,350,43,187
Hohenzell                     ,2002-11-24,244,760,89,124
Lohnsburg am Kobernaußerwald  ,2002-11-24,288,742,65,293
Pramet                        ,2002-11-24,187,272,29,110
Reichersberg                  ,2002-11-24,223,446,45,111
Reichenau im Mühlkreis        ,2002-11-24,196,384,51,59
Aurach am Hongar              ,2002-11-24,407,383,62,83
Fornach                       ,2002-11-24,77,350,23,73
Seewalchen am Attersee        ,2002-11-24,1075,1111,317,412
Aichkirchen                   ,2002-11-24,51,196,10,52
Eberstalzell                  ,2002-11-24,209,849,64,154
Neukirchen bei Lambach        ,2002-11-24,119,298,40,88
Pitzenberg                    ,2002-11-24,79,150,25,42
Redleiten                     ,2002-11-24,94,132,8,33
Esternberg                    ,2002-11-24,247,1050,58,278
Raab                          ,2002-11-24,287,711,100,285
Bad Hall                      ,2002-11-24,1007,1180,211,342
Dietach                       ,2002-11-24,556,736,129,118
Ternberg                      ,2002-11-24,720,1053,146,205
Bezirk Urfahr-Umgebung               ,2002-11-24,15268,24397,5225,3828
Eidenberg                     ,2002-11-24,242,749,74,61
Ottenschlag im Mühlkreis      ,2002-11-24,100,184,6,19
Ottensheim                    ,2002-11-24,857,1169,451,210
St.Willibald                  ,2008-09-28,153,246,21,164
Sigharting                    ,2008-09-28,79,245,17,97
Wernstein am Inn              ,2008-09-28,243,354,44,182
Adlwang                       ,2008-09-28,169,380,75,196
Pfarrkirchen bei Bad Hall     ,2008-09-28,396,353,95,243
Bezirk Urfahr-Umgebung               ,2008-09-28,13917,16800,6989,8209
Hellmonsödt                   ,2008-09-28,375,376,168,221
Niederkappel                  ,2008-09-28,113,311,25,97
Niederwaldkirchen             ,2008-09-28,205,514,80,149
Neustift im Mühlkreis         ,2008-09-28,149,432,70,126
Ulrichsberg                   ,2008-09-28,424,686,141,335
Bezirk Schärding                     ,2008-09-28,7829,12488,2193,8115
Enzenkirchen                  ,2008-09-28,322,304,40,276
Kopfing im Innkreis           ,2008-09-28,209,398,61,282
Raab                          ,2008-09-28,229,406,105,406
Steinhaus                     ,2008-09-28,246,342,73,416
Oberhofen am Irrsee           ,2008-09-28,172,334,67,157
Pfaffing                      ,2008-09-28,225,213,56,225
Rüstorf                       ,2008-09-28,388,254,96,299
Schlatt                       ,2008-09-28,198,218,53,150
Schörfling am Attersee        ,2008-09-28,543,395,204,476
Tiefgraben                    ,2008-09-28,324,711,169,377
Ungenach                      ,2008-09-28,137,365,84,193
Stadt Wels                          ,2008-09-28,10846,5163,3325,6480
Alkoven                       ,2008-09-28,1319,699,301,541
Fraham                        ,2008-09-28,468,317,105,286
Haibach ob der Donau          ,2008-09-28,234,300,71,119
Sandl                         ,2008-09-28,351,255,54,139
St.Leonhard bei Freistadt     ,2008-09-28,267,367,48,158
Waldburg                      ,2008-09-28,225,327,85,138
Perwang am Grabensee          ,2008-09-28,89,162,35,94
Treubach                      ,2008-09-28,56,204,11,100
St.Georgen bei Grieskirchen   ,2008-09-28,162,230,57,116
Tollet                        ,2008-09-28,144,199,59,79
Hinterstoder                  ,2008-09-28,122,181,43,113
Kremsmünster                  ,2008-09-28,834,1154,271,618
Hörsching                     ,2008-09-28,1102,576,335,807
Hofkirchen im Traunkreis      ,2008-09-28,260,248,116,173
Kematen an der Krems          ,2008-09-28,421,461,104,228
St.Florian                    ,2008-09-28,1079,1098,405,583
Katsdorf                      ,2008-09-28,648,459,187,261
Klam                          ,2008-09-28,123,172,28,125
Bad Kreuzen                   ,2008-09-28,167,717,69,278
Luftenberg an der Donau       ,2008-09-28,1064,381,189,467
Mitterkirchen im Machland     ,2008-09-28,353,430,72,157
St.Georgen am Walde           ,2008-09-28,445,437,61,203
Saxen                         ,2008-09-28,311,326,68,312
Eberschwang                   ,2008-09-28,589,483,143,515
Geiersberg                    ,2008-09-28,70,105,29,73
Gurten                        ,2008-09-28,124,264,50,134
Reichersberg                  ,2008-09-28,167,280,58,181
St.Georgen b. Obernberg am Inn,2008-09-28,39,193,46,49
Grünau im Almtal              ,2008-09-28,427,352,110,240
Bruck-Waasen                  ,2008-09-28,257,587,89,221
Kallham                       ,2008-09-28,408,520,109,307
Riedau                        ,2008-09-28,380,276,64,286
St.Florian am Inn             ,2008-09-28,518,462,105,465
Wippenham                     ,2013-09-29,95,91,25,77
Hörbich                       ,2013-09-29,26,134,11,59
Niederkappel                  ,2013-09-29,96,293,24,106
