PARTEI,WAHLKREIS,'29.09.19','15.10.17'
ÖVP,St.Georgen am Fillmannsbach,104,89
ÖVP,Eferding,8106,7318
ÖVP,Pupping,366,336
ÖVP,Rainbach im Mühlkreis,722,680
ÖVP,St.Oswald bei Freistadt,679,581
ÖVP,Wartberg ob der Aist,769,698
ÖVP,Gmunden,22804,20362
ÖVP,Altmünster,1857,1639
ÖVP,Höhnhart,302,284
ÖVP,Lengau,927,725
ÖVP,Arbing,324,303
ÖVP,Langenstein,404,339
ÖVP,Münzbach,521,457
ÖVP,Waldhausen im Strudengau,706,615
ÖVP,Ried im Innkreis,1454,14812
ÖVP,Mettmach,489,416
ÖVP,Peterskirchen,218,211
ÖVP,St.Marienkirchen am Hausruck,261,224
ÖVP,Schildorn,258,239
ÖVP,Taiskirchen im Innkreis,610,595
ÖVP,Wippenham,106,104
ÖVP,Rohrbach,17629,16575
ÖVP,Grünau im Almtal,376,350
ÖVP,Obertraun,107,96
ÖVP,Ohlsdorf,908,873
ÖVP,St.Konrad,288,270
ÖVP,St.Wolfgang im Salzkammergut,633,557
ÖVP,Vorchdorf,1328,1235
ÖVP,Kallham,538,525
ÖVP,Kematen am Innbach,261,224
ÖVP,Michaelnbach,356,316
ÖVP,Neukirchen am Walde,460,426
ÖVP,St.Georgen bei Grieskirchen,263,242
ÖVP,Schlüßlberg,534,438
ÖVP,Hinterstoder,215,203
ÖVP,Inzersdorf im Kremstal,380,380
ÖVP,Klaus an der Pyhrnbahn,161,144
ÖVP,Oberschlierbach,135,121
ÖVP,Pettenbach,1004,926
ÖVP,Steyr-Land,14913,13530
ÖVP,Gampern,719,621
ÖVP,Nußdorf am Attersee,251,270
ÖVP,Weißenkirchen im Attergau,274,282
ÖVP,St.Ulrich bei Steyr,720,652
ÖVP,Urfahr-Umgebung,22082,20848
ÖVP,Gramastetten,1089,1127
ÖVP,Vorderweißenbach,788,622
ÖVP,Attersee,322,307
ÖVP,Klaffer am Hochficht,321,295
ÖVP,Freinberg,321,292
ÖVP,Mayrhof,88,103
ÖVP,Bachmanning,130,126
ÖVP,Edt bei Lambach,438,378
ÖVP,Roßbach,210,196
ÖVP,St.Peter am Hart,421,417
ÖVP,Tarsdorf,587,528
ÖVP,Hinzenbach,424,380
ÖVP,Hagenberg im Mühlkreis,452,412
ÖVP,Kaltenberg,304,263
ÖVP,Leopoldschlag,314,280
ÖVP,St.Leonhard bei Freistadt,400,387
ÖVP,Waldburg,331,328
ÖVP,Steyr,8347,7082
ÖVP,Auerbach,148,139
ÖVP,Burgkirchen,621,613
ÖVP,Lochen,725,637
ÖVP,Mattighofen,699,599
ÖVP,Pucking,658,602
ÖVP,Katsdorf,597,564
ÖVP,Mitterkirchen im Machland,420,394
ÖVP,Andrichsfurt,218,192
ÖVP,Antiesenhofen,197,157
