WAHLKREIS,WAHL,'SPÖ','ÖVP','GRÜNE','FPÖ'
Palting,2017,75,232,10,176
Polling im Innkreis,2017,104,185,5,230
Schwand im Innkreis,2017,77,228,14,186
Tarsdorf,2017,147,528,28,316
Weng im Innkreis,2017,142,293,17,286
Scharten,2017,349,361,42,415
Gutau,2017,493,623,56,340
Hagenberg im Mühlkreis,2017,456,412,73,427
Liebenau,2017,192,472,7,253
Pierbach,2017,93,227,22,212
Pregarten,2017,994,990,89,775
Schönau im Mühlkreis,2017,232,539,21,337
Gmunden,2017,21323,20362,2386,17469
Linz und Umgebung,2017,67233,46210,8686,46052
Hausruckviertel,2017,56535,69393,7752,64579
Aspach,2017,191,524,26,448
Haigermoos,2017,53,155,8,89
St.Marien,2017,735,878,68,639
Mauthausen,2017,997,604,74,587
Geiersberg,2017,47,117,10,86
Ort im Innkreis,2017,93,227,15,260
Peterskirchen,2017,46,211,10,114
Atzesberg,2017,37,147,4,93
Ebensee,2017,1683,974,97,1175
Pinsdorf,2017,658,511,55,636
Roitham,2017,253,344,32,338
Scharnstein,2017,761,736,75,669
Eschenau im Hausruckkreis,2017,71,331,13,233
St.Georgen bei Grieskirchen,2017,165,242,21,191
Hinterstoder,2017,91,203,9,133
Steinbach am Ziehberg,2017,99,195,13,142
Vorderstoder,2017,54,169,6,142
Eggendorf im Traunkreis,2017,101,187,10,150
Hargelsberg,2017,221,292,22,177
Hofkirchen im Traunkreis,2017,307,293,38,280
Vichtenstein,2017,35,142,6,117
Steyr-Land,2017,11359,13530,1227,10306
Gaflenz,2017,226,488,19,311
Attnang-Puchheim,2017,1348,704,118,1027
Desselbrunn,2017,284,346,18,312
Oberhofen am Irrsee,2017,163,382,19,226
Redleiten,2017,55,81,9,101
St.Lorenz,2017,164,550,43,321
Ternberg,2017,553,651,51,510
Alberndorf in der Riedmark,2017,514,868,71,672
Eidenberg,2017,241,586,40,231
Feldkirchen an der Donau,2017,925,999,108,821
Haibach im Mühlkreis,2017,118,208,15,129
Lichtenberg,2017,384,600,82,262
Oberneukirchen,2017,351,752,93,457
Bad Ischl,2017,2220,1862,263,1840
Sonnberg im Mühlkreis,2017,147,207,22,142
Walding,2017,737,789,119,442
Kollerschlag,2017,123,422,9,287
Neufelden,2017,137,273,32,145
Putzleinsdorf,2017,109,464,20,234
Neustift im Mühlkreis,2017,153,434,23,126
Schwarzenberg am Böhmerwald,2017,56,148,6,115
Aigen-Schlägl,2017,340,686,57,462
Andorf,2017,666,992,64,1131
Dorf an der Pram,2017,99,316,7,145
Zell am Moos,2017,108,361,17,205
Gunskirchen,2017,810,1018,85,1046
Sattledt,2017,273,441,15,452
Schleißheim,2017,168,249,29,209
Sipbachzell,2017,198,419,10,348
Neukirchen an der Enknach,2017,235,457,23,413
Roßbach,2017,104,196,8,205
St.Radegund,2017,29,215,17,49
Fraham,2017,411,371,40,416
Hartkirchen,2017,615,872,60,862
Hinzenbach,2017,300,380,20,364
Stroheim,2017,136,422,18,306
Kefermarkt,2017,350,475,31,315
Königswiesen,2017,351,825,31,596
Lasberg,2017,407,684,49,360
St.Leonhard bei Freistadt,2017,207,387,19,243
Tragwein,2017,588,699,48,406
Wartberg ob der Aist,2017,812,698,104,619
Wels,2017,18404,11749,1986,16352
Lochen,2017,237,637,34,507
Mattighofen,2017,684,599,54,725
Mining,2017,127,296,16,193
Perg,2017,13996,16510,1417,12363
Rechberg,2017,82,347,13,92
St.Thomas am Blasenstein,2017,73,320,9,103
Waldhausen im Strudengau,2017,458,615,23,454
Andrichsfurt,2017,43,192,9,137
St.Georgen b. Obernberg am Inn,2017,45,186,5,71
St.Martin im Innkreis,2017,181,295,26,285
Utzenaich,2017,151,348,27,255
Helfenberg,2017,142,203,17,156
St.Konrad,2017,161,270,15,153
Wendling,2017,61,214,11,155
Micheldorf in Oberösterreich,2017,940,841,120,883
Schlierbach,2017,340,474,63,423
Wartberg an der Krems,2017,305,679,49,431
Allhaming,2017,155,277,18,171
Asten,2017,1200,675,65,1091
Enns,2017,1837,1330,169,1432
St.Aegidi,2017,119,442,21,352
Suben,2017,131,238,16,182
Bad Hall,2017,636,818,85,687
Mondsee,2017,285,542,66,360
Nußdorf am Attersee,2017,80,270,10,168
Oberndorf bei Schwanenstadt,2017,217,223,27,295
Pfaffing,2017,242,275,23,215
Pühret,2017,86,123,18,113
Weißenkirchen im Attergau,2017,74,282,12,184
Reichraming,2017,514,214,19,276
Schiedlberg,2017,104,398,9,144
Wolfern,2017,469,684,34,463
Urfahr-Umgebung,2017,15022,20848,2834,12146
Gramastetten,2017,647,1127,135,561
Reichenthal,2017,201,388,20,200
Altenfelden,2017,261,471,39,410
Hörbich,2017,21,137,2,87
Schenkenfelden,2017,170,475,12,180
Zwettl an der Rodl,2017,237,408,73,201
Kleinzell im Mühlkreis,2017,231,362,32,191
Pfarrkirchen im Mühlkreis,2017,99,456,25,241
St.Johann am Wimberg,2017,100,248,10,187
St.Ulrich im Mühlkreis,2017,56,171,22,86
Sarleinsbach,2017,191,690,58,331
Neukirchen bei Lambach,2017,79,202,13,150
Offenhausen,2017,169,366,20,310
Steinerkirchen an der Traun,2017,194,600,49,404
Moosbach,2017,82,169,18,241
St.Georgen am Fillmannsbach,2017,17,89,3,127
St.Johann am Walde,2017,287,340,18,377
St.Pantaleon,2017,350,482,25,483
St.Veit im Innkreis,2017,50,91,4,87
Treubach,2017,32,172,3,154
Grünbach,2017,265,418,18,322
Kaltenberg,2017,33,263,2,99
Leopoldschlag,2017,102,280,17,160
Sandl,2017,254,286,34,226
Unterweißenbach,2017,211,591,23,430
Bad Zell,2017,343,711,79,458
Oberösterreich,2017,246201,280595,32792,239444
Innviertel,2017,27052,47826,3880,42573
Linz,2017,70825,40516,9517,43122
Eggelsberg,2017,171,427,56,423
Jeging,2017,65,145,4,124
Kronstorf,2017,636,521,38,551
Leonding,2017,4627,3553,566,3407
St.Florian,2017,952,1261,126,779
Neuhofen an der Krems,2017,936,825,140,788
Arbing,2017,219,303,24,215
Katsdorf,2017,563,564,74,412
Windhaag bei Perg,2017,125,373,22,218
Antiesenhofen,2017,99,157,10,176
Eberschwang,2017,473,471,53,658
Kirchdorf am Inn,2017,53,172,6,116
Mehrnbach,2017,186,408,31,439
Mettmach,2017,226,416,15,578
Obernberg am Inn,2017,147,159,21,275
Pramet,2017,110,221,8,203
Schildorn,2017,136,239,16,181
Wippenham,2017,93,104,15,98
Rohrbach,2017,7326,16575,1251,9695
Julbach,2017,265,338,7,217
Aistersheim,2017,82,184,7,185
Kallham,2017,296,525,28,407
Peuerbach,2017,252,430,50,346
St.Agatha,2017,190,629,25,374
Tollet,2017,138,212,23,118
Waizenkirchen,2017,348,879,69,581
Kremsmünster,2017,663,1190,102,867
Nußbach,2017,238,575,45,314
Steinbach an der Steyr,2017,250,503,27,342
Linz-Land,2017,28059,23078,2993,22806
St.Marienkirchen bei Schärding,2017,130,381,12,356
Dietach,2017,545,605,89,415
Berg im Attergau,2017,69,301,15,153
Manning,2017,116,164,18,117
Niederthalheim,2017,87,251,29,233
Schörfling am Attersee,2017,497,461,65,514
Ungenach,2017,149,362,37,267
Weyer,2017,777,664,65,658
Ottenschlag im Mühlkreis,2017,75,138,9,92
Kirchschlag bei Linz,2017,262,443,54,259
Nebelberg,2017,99,194,7,72
Oberkappel,2017,34,196,5,86
St.Martin im Mühlkreis,2017,448,902,61,557
Brunnenthal,2017,192,364,40,388
Eggerding,2017,104,338,10,282
Münzkirchen,2017,224,593,33,537
Rainbach im Innkreis,2017,143,354,20,306
Edt bei Lambach,2017,304,378,24,419
Aschach an der Donau,2017,355,291,58,311
Haibach ob der Donau,2017,193,300,23,230
Pupping,2017,271,336,33,335
St.Marienkirchen an d. Polsenz,2017,338,430,43,435
Auerbach,2017,38,139,7,123
Franking,2017,72,194,8,163
Handenberg,2017,105,340,8,227
Mauerkirchen,2017,255,253,20,364
Klam,2017,80,172,9,166
St.Georgen an der Gusen,2017,926,589,107,517
Saxen,2017,247,340,22,347
Ried im Innkreis,2017,8757,14812,1466,13365
Lambrechten,2017,85,341,17,293
Mörschwang,2017,20,102,16,36
Tumeltsham,2017,128,335,30,260
Haslach an der Mühl,2017,429,510,63,318
Kirchberg ob der Donau,2017,142,258,11,173
Hallstatt,2017,224,85,15,73
Obertraun,2017,192,96,6,82
Bad Schallerbach,2017,502,654,65,542
Neukirchen am Walde,2017,162,426,31,305
Pollham,2017,97,252,24,139
Steegen,2017,86,274,19,174
Klaus an der Pyhrnbahn,2017,254,144,9,142
Ried im Traunkreis,2017,235,601,44,484
Rosenau am Hengstpaß,2017,140,97,0,104
Ansfelden,2017,2474,1412,148,2492
St.Florian am Inn,2017,390,520,28,540
Sigharting,2017,49,222,5,195
Fornach,2017,65,295,8,161
Innerschwand,2017,56,311,35,137
Rüstorf,2017,292,325,32,388
Tiefgraben,2017,271,815,45,474
Unterach am Attersee,2017,154,273,14,119
Vöcklamarkt,2017,619,947,72,739
Sierning,2017,1790,1347,99,1540
Reichenau im Mühlkreis,2017,168,289,24,199
Ampflwang im Hausruckwald,2017,742,377,29,562
St.Oswald bei Haslach,2017,72,125,7,66
St.Stefan am Walde,2017,101,252,21,115
St.Veit im Mühlkreis,2017,130,329,22,199
Ulrichsberg,2017,333,666,47,476
Rohrbach-Berg,2017,507,1143,127,717
Diersbach,2017,169,357,30,304
Engelhartszell,2017,84,164,14,150
Mayrhof,2017,21,103,1,64
Raab,2017,185,448,46,495
Moosdorf,2017,254,273,12,271
Ostermiething,2017,248,633,50,432
Ueberackern,2017,54,137,2,85
Neumarkt im Mühlkreis,2017,496,666,93,423
Altmünster,2017,1583,1639,143,1286
Braunau am Inn,2017,14926,21828,1863,20742
Altheim,2017,661,715,54,921
Gilgenberg am Weilhart,2017,70,309,7,248
Kirchberg bei Mattighofen,2017,80,271,20,214
