Nr. ,Name ,Wahlbe rechtigte,abgegeb. Stimmen,Wahlbet. in %,ungültige Stimmen,ungültige in %,gültige Stimmen,gültige in %,SPÖ Stimmen,SPÖ Ant. %,ÖVP Stimmen,ÖVP Ant. %,GRÜNE Stimmen,GRÜNE Ant. %,FPÖ Stimmen,FPÖ Ant. %,BZÖ Stimmen,BZÖ Ant. %,RETTÖ Stimmen,RETTÖ Ant. %,LIF Stimmen,LIF Ant. %,KPÖ Stimmen,KPÖ Ant. %,DC Stimmen,DC Ant. %,LINKE Stimmen,LINKE Ant. %,FRITZ Stimmen,FRITZ Ant. %,erste Eingabe Datum, Zeit,letzte Eingabe Datum, Zeit
40000,Land Oberösterreich,1088438,892455,81.99,24677,2.77,867778,97.23,264315,30.46,232153,26.75,85970,9.91,165139,19.03,78901,9.09,8162,0.94,11437,1.32,5386,0.62,7361,0.85,359,0.04,8595,0.99,9-28-08,19:32:11,10-06-08,18:54:34
40099,Wahlkarten Oberösterreich,0,48,0.00,48,100.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,10-01-08,12:34:29,10-01-08,12:34:29
4A000,Wahlkreis Linz und Umgebung,245598,194043,79.01,3690,1.90,190353,98.10,71676,37.65,34969,18.37,23588,12.39,34949,18.36,15481,8.13,1655,0.87,3680,1.93,1451,0.76,1171,0.62,108,0.06,1625,0.85,9-28-08,19:19:59,10-06-08,18:54:34
4A099,Wahlkarten Linz und Umgebung,0,3549,0.00,54,1.52,3495,98.48,899,25.72,826,23.63,754,21.57,468,13.39,282,8.07,21,0.60,157,4.49,28,0.80,16,0.46,1,0.03,43,1.23,10-01-08,12:36:17,10-01-08,12:36:17
4B000,Wahlkreis Innviertel,165085,130511,79.06,4115,3.15,126396,96.85,29720,23.51,40590,32.11,9734,7.70,28801,22.79,12047,9.53,1469,1.16,1069,0.85,613,0.48,955,0.76,48,0.04,1350,1.07,9-28-08,19:01:55,10-06-08,15:49:29
4B099,Wahlkarten Innviertel,0,1043,0.00,26,2.49,1017,97.51,137,13.47,302,29.70,282,27.73,115,11.31,104,10.23,11,1.08,36,3.54,8,0.79,10,0.98,2,0.20,10,0.98,10-01-08,12:37:24,10-01-08,12:37:24
4C000,Wahlkreis Hausruckviertel,266391,220102,82.62,6321,2.87,213781,97.13,61132,28.60,56972,26.65,19743,9.24,45644,21.35,20324,9.51,2034,0.95,2535,1.19,1215,0.57,2009,0.94,73,0.03,2100,0.98,9-28-08,19:30:23,10-06-08,15:45:36
4C099,Wahlkarten Hausruckviertel,0,2170,0.00,36,1.66,2134,98.34,413,19.35,579,27.13,527,24.70,284,13.31,174,8.15,17,0.80,85,3.98,12,0.56,16,0.75,1,0.05,26,1.22,10-01-08,12:38:19,10-01-08,12:38:19
4D000,Wahlkreis Traunviertel,197634,163130,82.54,4404,2.70,158726,97.30,52620,33.15,39792,25.07,15345,9.67,26902,16.95,15979,10.07,1514,0.95,2088,1.32,1117,0.70,1481,0.93,56,0.04,1832,1.15,9-28-08,19:32:11,10-06-08,16:14:21
4D099,Wahlkarten Traunviertel,0,1813,0.00,28,1.54,1785,98.46,351,19.66,450,25.21,446,24.99,216,12.10,178,9.97,12,0.67,69,3.87,18,1.01,21,1.18,2,0.11,22,1.23,10-01-08,12:39:16,10-01-08,12:39:16
4E000,Wahlkreis Mühlviertel,213730,184621,86.38,6099,3.30,178522,96.70,49167,27.54,59830,33.51,17560,9.84,28843,16.16,15070,8.44,1490,0.83,2065,1.16,990,0.55,1745,0.98,74,0.04,1688,0.95,9-28-08,19:09:11,10-06-08,15:54:38
