Nr. ,Name ,Wahlbe rechtigte,abgegeb. ,Wahlbet. in %,ungültige Stimmen,ungültige in %,gültige Stimmen,gültige in %,SPÖ Stimmen,SPÖ Ant. %,ÖVP Stimmen,ÖVP Ant. %,FPÖ Stimmen,FPÖ Ant. %,GRÜNE Stimmen,GRÜNE Ant. %,leer Stimmen,leer Ant. %,NEOS Stimmen,NEOS Ant. %,PILZ Stimmen,PILZ Ant. %,GILT Stimmen,GILT Ant. %,KPÖ Stimmen,KPÖ Ant. %,FLÖ Stimmen,FLÖ Ant. %,SLP Stimmen,SLP Ant. %,WEIßE Stimmen,WEIßE Ant. %,erste Eingabe Datum, Zeit,letzte Eingabe Datum, Zeit
40000,Oberösterreich,1103664,902801,81.799999999999997,10726,1.1899999999999999,892075,98.810000000000002,246201,27.600000000000001,280595,31.449999999999999,239444,26.84,32792,3.6800000000000002,0,0,42556,4.7699999999999996,32772,3.6699999999999999,9141,1.02,5426,0.60999999999999999,854,0.10000000000000001,183,0.02,2111,0.23999999999999999,15.10.2017,19:58:44,19.10.2017,16:17:51
40099,Wahlkarten Oberösterreich,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.10.2017,16:15:57,19.10.2017,16:15:57
4A000,Linz und Umgebung,247049,193848,78.469999999999999,1716,0.89000000000000001,192132,99.109999999999999,67233,34.990000000000002,46210,24.050000000000001,46052,23.969999999999999,8686,4.5199999999999996,0,0,10399,5.4100000000000001,8928,4.6500000000000004,2130,1.1100000000000001,1981,1.03,151,0.080000000000000002,55,0.029999999999999999,307,0.16,15.10.2017,19:45:08,19.10.2017,16:11:39
49019,Wahlkarten Linz und Umgebung,0,1272,0,7,0.55000000000000004,1265,99.450000000000003,334,26.399999999999999,321,25.379999999999999,179,14.15,119,9.4100000000000001,0,0,153,12.09,118,9.3300000000000001,15,1.1899999999999999,14,1.1100000000000001,3,0.23999999999999999,0,0,9,0.70999999999999996,19.10.2017,16:11:39,19.10.2017,16:11:39
4B000,Innviertel,167093,133837,80.099999999999994,1631,1.22,132206,98.780000000000001,27052,20.460000000000001,47826,36.18,42573,32.200000000000003,3880,2.9300000000000002,0,0,5256,3.98,3583,2.71,1100,0.82999999999999996,500,0.38,165,0.12,21,0.02,250,0.19,15.10.2017,18:00:21,19.10.2017,16:17:51
49029,Wahlkarten Innviertel,0,425,0,1,0.23999999999999999,424,99.760000000000005,85,20.050000000000001,94,22.170000000000002,73,17.219999999999999,37,8.7300000000000004,0,0,68,16.039999999999999,46,10.85,10,2.3599999999999999,11,2.5899999999999999,0,0,0,0,0,0,19.10.2017,16:12:47,19.10.2017,16:12:47
4C000,Hausruckviertel,272358,223714,82.140000000000001,2713,1.21,221001,98.790000000000006,56535,25.579999999999998,69393,31.399999999999999,64579,29.219999999999999,7752,3.5099999999999998,0,0,10521,4.7599999999999998,7946,3.6000000000000001,2093,0.94999999999999996,1073,0.48999999999999999,220,0.10000000000000001,33,0.01,856,0.39000000000000001,15.10.2017,18:46:36,19.10.2017,16:13:37
49039,Wahlkarten Hausruckviertel,0,866,0,7,0.81000000000000005,859,99.189999999999998,231,26.890000000000001,174,20.260000000000002,133,15.48,100,11.640000000000001,0,0,106,12.34,79,9.1999999999999993,13,1.51,19,2.21,2,0.23000000000000001,0,0,2,0.23000000000000001,19.10.2017,16:13:37,19.10.2017,16:13:37
4D000,Traunviertel,197375,162625,82.390000000000001,2039,1.25,160586,98.75,48205,30.02,47753,29.739999999999998,42052,26.190000000000001,5409,3.3700000000000001,0,0,7716,4.7999999999999998,6138,3.8199999999999998,1853,1.1499999999999999,870,0.54000000000000004,147,0.089999999999999997,43,0.029999999999999999,400,0.25,15.10.2017,19:58:44,19.10.2017,16:14:18
49049,Wahlkarten Traunviertel,0,717,0,13,1.8100000000000001,704,98.189999999999998,181,25.710000000000001,164,23.300000000000001,103,14.630000000000001,84,11.93,0,0,73,10.369999999999999,68,9.6600000000000001,9,1.28,19,2.7000000000000002,0,0,0,0,3,0.42999999999999999,19.10.2017,16:14:18,19.10.2017,16:14:18
4E000,Mühlviertel,219789,188777,85.890000000000001,2627,1.3899999999999999,186150,98.609999999999999,47176,25.34,69413,37.289999999999999,44188,23.739999999999998,7065,3.7999999999999998,0,0,8664,4.6500000000000004,6177,3.3199999999999998,1965,1.0600000000000001,1002,0.54000000000000004,171,0.089999999999999997,31,0.02,298,0.16,15.10.2017,19:29:38,19.10.2017,16:15:02
49059,Wahlkarten Mühlviertel,0,750,0,7,0.93000000000000005,743,99.069999999999993,191,25.710000000000001,176,23.690000000000001,100,13.460000000000001,75,10.09,0,0,75,10.09,96,12.92,16,2.1499999999999999,11,1.48,1,0.13,1,0.13,1,0.13,19.10.2017,16:15:02,19.10.2017,16:15:02
40100,Linz,140037,105235,75.150000000000006,909,0.85999999999999999,104326,99.140000000000001,38840,37.229999999999997,22811,21.870000000000001,23067,22.109999999999999,5574,5.3399999999999999,0,0,5637,5.4000000000000004,5438,5.21,1195,1.1499999999999999,1506,1.4399999999999999,71,0.070000000000000007,38,0.040000000000000001,149,0.14000000000000001,15.10.2017,19:32:30,16.10.2017,15:44:40
40101,Linz,140037,85255,60.880000000000003,790,0.93000000000000005,84465,99.069999999999993,31985,37.869999999999997,17705,20.960000000000001,20055,23.739999999999998,3943,4.6699999999999999,0,0,4235,5.0099999999999998,4228,5.0099999999999998,954,1.1299999999999999,1166,1.3799999999999999,51,0.059999999999999998,25,0.029999999999999999,118,0.14000000000000001,15.10.2017,19:32:30,15.10.2017,19:32:30
40199,Wahlkarten Linz,0,19980,0,119,0.59999999999999998,19861,99.400000000000006,6855,34.509999999999998,5106,25.710000000000001,3012,15.17,1631,8.2100000000000009,0,0,1402,7.0599999999999996,1210,6.0899999999999999,241,1.21,340,1.71,20,0.10000000000000001,13,0.070000000000000007,31,0.16,16.10.2017,15:44:40,16.10.2017,15:44:40
40200,Steyr,27423,21073,76.840000000000003,195,0.93000000000000005,20878,99.069999999999993,8371,40.090000000000003,3919,18.77,5635,26.989999999999998,764,3.6600000000000001,0,0,828,3.9700000000000002,909,4.3499999999999996,247,1.1799999999999999,154,0.73999999999999999,12,0.059999999999999998,5,0.02,34,0.16,15.10.2017,19:58:44,16.10.2017,14:34:11
