Nr. ,Name ,Wahlbe rechtigte,abgegeb. ,Wahlbet. in %,ungültige Stimmen,ungültige in %,gültige Stimmen,gültige in %,ÖVP Stimmen,ÖVP Ant. %,SPÖ Stimmen,SPÖ Ant. %,FPÖ Stimmen,FPÖ Ant. %,NEOS Stimmen,NEOS Ant. %,JETZT Stimmen,JETZT Ant. %,GRÜNE Stimmen,GRÜNE Ant. %,KPÖ Stimmen,KPÖ Ant. %,SLP Stimmen,SLP Ant. %,WANDL Stimmen,WANDL Ant. %,erste Eingabe Datum, Zeit,letzte Eingabe Datum, Zeit
40000,Oberösterreich,1104436,858039,77.689999999999998,12943,1.51,845096,98.489999999999995,310611,36.75,187173,22.149999999999999,147873,17.5,61853,7.3200000000000003,12451,1.47,115983,13.720000000000001,4750,0.56000000000000005,310,0.040000000000000001,4092,0.47999999999999998,29.09.2019,19:46:13,03.10.2019,13:54:49
40099,Wahlkarten Oberösterreich,0,1,0,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,03.10.2019,13:50:56,03.10.2019,13:50:56
4A000,Linz und Umgebung,245789,181540,73.859999999999999,2029,1.1200000000000001,179511,98.879999999999995,49869,27.780000000000001,49991,27.850000000000001,27420,15.27,15369,8.5600000000000005,3357,1.8700000000000001,31023,17.280000000000001,1389,0.77000000000000002,93,0.050000000000000003,1000,0.56000000000000005,29.09.2019,19:46:13,03.10.2019,13:44:49
49019,Wahlkarten Linz und Umgebung,0,1110,0,5,0.45000000000000001,1105,99.549999999999997,252,22.809999999999999,169,15.289999999999999,93,8.4199999999999999,171,15.48,31,2.8100000000000001,377,34.119999999999997,6,0.54000000000000004,0,0,6,0.54000000000000004,03.10.2019,13:44:49,03.10.2019,13:44:49
4B000,Innviertel,167189,126764,75.819999999999993,1865,1.47,124899,98.530000000000001,54648,43.75,19734,15.800000000000001,27322,21.879999999999999,7663,6.1399999999999997,1465,1.1699999999999999,12882,10.31,605,0.47999999999999998,26,0.02,554,0.44,29.09.2019,18:30:44,03.10.2019,13:45:40
49029,Wahlkarten Innviertel,0,379,0,3,0.79000000000000004,376,99.209999999999994,75,19.949999999999999,49,13.029999999999999,37,9.8399999999999999,69,18.350000000000001,10,2.6600000000000001,124,32.979999999999997,4,1.0600000000000001,0,0,8,2.1299999999999999,03.10.2019,13:45:40,03.10.2019,13:45:40
4C000,Hausruckviertel,273379,213202,77.989999999999995,3510,1.6499999999999999,209692,98.349999999999994,77480,36.950000000000003,43537,20.760000000000002,40697,19.41,15508,7.4000000000000004,3044,1.45,27377,13.06,1009,0.47999999999999998,58,0.029999999999999999,982,0.46999999999999997,29.09.2019,17:50:54,03.10.2019,13:46:46
49039,Wahlkarten Hausruckviertel,0,662,0,8,1.21,654,98.790000000000006,145,22.170000000000002,68,10.4,56,8.5600000000000005,102,15.6,26,3.98,247,37.770000000000003,5,0.76000000000000001,0,0,5,0.76000000000000001,03.10.2019,13:46:46,03.10.2019,13:46:46
4D000,Traunviertel,197070,154052,78.170000000000002,2399,1.5600000000000001,151653,98.439999999999998,53475,35.259999999999998,38208,25.190000000000001,25233,16.640000000000001,10620,7,2351,1.55,20074,13.24,856,0.56000000000000005,65,0.040000000000000001,771,0.51000000000000001,29.09.2019,19:04:33,03.10.2019,13:54:49
49049,Wahlkarten Traunviertel,0,608,0,4,0.66000000000000003,604,99.340000000000003,140,23.18,75,12.42,62,10.26,88,14.57,22,3.6400000000000001,199,32.950000000000003,8,1.3200000000000001,0,0,10,1.6599999999999999,03.10.2019,13:48:14,03.10.2019,13:54:49
