Nr. ,Name ,Wahlbe rechtigte,abgegeb. Stimmen,Wahlbet. in %,ungültige Stimmen,ungültige in %,gültige Stimmen,gültige in %,ÖVP Stimmen,ÖVP Ant. %,SPÖ Stimmen,SPÖ Ant. %,FPÖ Stimmen,FPÖ Ant. %,GRÜNE Stimmen,GRÜNE Ant. %,BZÖ Stimmen,BZÖ Ant. %,KPÖ Stimmen,KPÖ Ant. %,MATIN Stimmen,MATIN Ant. %,erste Eingabe Datum, Zeit,letzte Eingabe Datum
40000,Land Oberösterreich,1046347,851676,81.400000000000006,19224,2.2599999999999998,832452,97.739999999999995,292998,35.200000000000003,300790,36.130000000000003,101743,12.220000000000001,85232,10.24,21840,2.6200000000000001,6793,0.81999999999999995,23056,2.77,1-10-06,7:46:35 PM,9-10-06,7:18:58 PM
4A000,Wahlkreis Linz und Umgebung,238592,186607,78.209999999999994,3314,1.78,183293,98.219999999999999,45537,24.84,81037,44.210000000000001,21807,11.9,23213,12.66,4743,2.5899999999999999,1797,0.97999999999999998,5159,2.8100000000000001,1-10-06,7:42:53 PM,9-10-06,7:14:02 PM
4A099,Wahlkarten Linz und Umgebung,0,10998,0,125,1.1399999999999999,10873,98.859999999999999,3524,32.409999999999997,3540,32.560000000000002,872,8.0199999999999996,2387,21.949999999999999,237,2.1800000000000002,112,1.03,201,1.8500000000000001,9-10-06,7:14:02 PM,9-10-06,7:14:02 PM
4B000,Wahlkreis Innviertel,158583,124078,78.239999999999995,3266,2.6299999999999999,120812,97.370000000000005,51114,42.310000000000002,33427,27.670000000000002,18753,15.52,9476,7.8399999999999999,3767,3.1200000000000001,878,0.72999999999999998,3397,2.8100000000000001,1-10-06,6:43:22 PM,9-10-06,7:15:12 PM
4B099,Wahlkarten Innviertel,0,5323,0,106,1.99,5217,98.010000000000005,2065,39.579999999999998,1183,22.68,492,9.4299999999999997,1173,22.48,119,2.2799999999999998,48,0.92000000000000004,137,2.6299999999999999,9-10-06,7:15:12 PM,9-10-06,7:15:12 PM
4C000,Wahlkreis Hausruckviertel,255209,208877,81.849999999999994,4740,2.27,204137,97.730000000000004,72193,35.359999999999999,70751,34.659999999999997,28218,13.82,20046,9.8200000000000003,5572,2.73,1544,0.76000000000000001,5813,2.8500000000000001,1-10-06,7:46:35 PM,9-10-06,7:16:53 PM
4C099,Wahlkarten Hausruckviertel,0,9181,0,146,1.5900000000000001,9035,98.409999999999997,3368,37.280000000000001,2380,26.34,840,9.3000000000000007,1986,21.98,179,1.98,85,0.93999999999999995,197,2.1800000000000002,9-10-06,7:16:53 PM,9-10-06,7:16:53 PM
4D000,Wahlkreis Traunviertel,190673,156722,82.189999999999998,3641,2.3199999999999998,153081,97.680000000000007,50691,33.109999999999999,59723,39.009999999999998,17373,11.35,15366,10.039999999999999,4111,2.6899999999999999,1318,0.85999999999999999,4499,2.9399999999999999,1-10-06,6:38:36 PM,9-10-06,7:17:55 PM
4D099,Wahlkarten Traunviertel,0,7332,0,119,1.6200000000000001,7213,98.379999999999995,2562,35.520000000000003,2049,28.41,544,7.54,1666,23.100000000000001,179,2.48,59,0.81999999999999995,154,2.1400000000000001,9-10-06,7:17:55 PM,9-10-06,7:17:55 PM
4.00e+00,Wahlkreis Mühlviertel,203290,175392,86.280000000000001,4263,2.4300000000000002,171129,97.569999999999993,73463,42.93,55852,32.640000000000001,15592,9.1099999999999994,17131,10.01,3647,2.1299999999999999,1256,0.72999999999999998,4188,2.4500000000000002,1-10-06,6:36:34 PM,9-10-06,7:18:58 PM
4.00e+99,Wahlkarten Mühlviertel,0,7552,0,83,1.1000000000000001,7469,98.900000000000006,2889,38.68,2047,27.41,455,6.0899999999999999,1703,22.800000000000001,145,1.9399999999999999,55,0.73999999999999999,175,2.3399999999999999,9-10-06,7:18:58 PM,9-10-06,7:18:58 PM
