Nr. ,Name ,Wahlbe rechtigte,abgegeb. Stimmen,Wahlbet. in %,ungültige Stimmen,ungültige in %,gültige Stimmen,gültige in %,SPÖ Stimmen,SPÖ Ant. %,ÖVP Stimmen,ÖVP Ant. %,FPÖ Stimmen,FPÖ Ant. %,BZÖ Stimmen,BZÖ Ant. %,GRÜNE Stimmen,GRÜNE Ant. %,FRANK Stimmen,FRANK Ant. %,NEOS Stimmen,NEOS Ant. %,PIRAT Stimmen,PIRAT Ant. %,KPÖ Stimmen,KPÖ Ant. %,CPÖ Stimmen,CPÖ Ant. %,WANDL Stimmen,WANDL Ant. %,erste Eingabe Datum, Zeit,letzte Eingabe Datum, Zeit
40000,Land Oberösterreich,1099182,861015,78.329999999999998,21615,2.5099999999999998,839400,97.489999999999995,228293,27.199999999999999,212843,25.359999999999999,180041,21.449999999999999,29700,3.54,102003,12.15,40379,4.8099999999999996,28604,3.4100000000000001,6757,0.80000000000000004,6277,0.75,2946,0.34999999999999998,1557,0.19,9-29-13,10-03-13,03.10.2013,12:24:05 AM
40099,Wahlkarten Oberösterreich,0,38,0,38,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10-03-13,10-03-13,03.10.2013,12:10:37 AM
4A000,Wahlkreis Linz und Umgebung,246452,184582,74.900000000000006,3574,1.9399999999999999,181008,98.060000000000002,59874,33.079999999999998,30807,17.02,36909,20.390000000000001,5407,2.9900000000000002,27136,14.99,8490,4.6900000000000004,8107,4.4800000000000004,1561,0.85999999999999999,2013,1.1100000000000001,384,0.20999999999999999,320,0.17999999999999999,9-29-13,10-03-13,03.10.2013,12:04:20 AM
4A099,Wahlkarten Linz und Umgebung,0,1225,0,20,1.6299999999999999,1205,98.370000000000005,216,17.93,266,22.07,134,11.119999999999999,41,3.3999999999999999,347,28.800000000000001,46,3.8199999999999998,108,8.9600000000000009,22,1.8300000000000001,20,1.6599999999999999,2,0.17000000000000001,3,0.25,10-03-13,10-03-13,03.10.2013,12:04:19 AM
4B000,Wahlkreis Innviertel,166320,125787,75.629999999999995,3379,2.6899999999999999,122408,97.310000000000002,26429,21.59,37107,30.309999999999999,31077,25.390000000000001,5291,4.3200000000000003,11312,9.2400000000000002,5784,4.7300000000000004,3161,2.5800000000000001,858,0.69999999999999996,639,0.52000000000000002,461,0.38,289,0.23999999999999999,9-29-13,10-03-13,03.10.2013,12:24:05 AM
4B099,Wahlkarten Innviertel,0,377,0,6,1.5900000000000001,371,98.409999999999997,41,11.050000000000001,78,21.02,53,14.289999999999999,17,4.5800000000000001,121,32.609999999999999,15,4.04,33,8.8900000000000006,7,1.8899999999999999,4,1.0800000000000001,1,0.27000000000000002,1,0.27000000000000002,10-03-13,10-03-13,03.10.2013,12:24:05 AM
4C000,Wahlkreis Hausruckviertel,270686,213976,79.049999999999997,5394,2.52,208582,97.480000000000004,53584,25.690000000000001,52181,25.02,50470,24.199999999999999,7346,3.52,24013,11.51,10168,4.8700000000000001,6722,3.2200000000000002,1739,0.82999999999999996,1261,0.59999999999999998,746,0.35999999999999999,352,0.17000000000000001,9-29-13,10-03-13,03.10.2013,12:06:30 AM
4C099,Wahlkarten Hausruckviertel,0,700,0,16,2.29,684,97.709999999999994,93,13.6,159,23.25,81,11.84,34,4.9699999999999998,206,30.120000000000001,15,2.1899999999999999,67,9.8000000000000007,15,2.1899999999999999,12,1.75,0,0,2,0.28999999999999998,10-03-13,10-03-13,03.10.2013,12:06:30 AM
4D000,Wahlkreis Traunviertel,197859,155837,78.760000000000005,3856,2.4700000000000002,151981,97.530000000000001,44797,29.48,34894,22.960000000000001,30988,20.390000000000001,6101,4.0099999999999998,18391,12.1,8100,5.3300000000000001,5351,3.52,1226,0.81000000000000005,1197,0.79000000000000004,647,0.42999999999999999,289,0.19,9-29-13,10-03-13,03.10.2013,12:07:25 AM
4D099,Wahlkarten Traunviertel,0,625,0,5,0.80000000000000004,620,99.200000000000003,88,14.19,119,19.190000000000001,73,11.77,27,4.3499999999999996,186,30,31,5,67,10.81,14,2.2599999999999998,12,1.9399999999999999,1,0.16,2,0.32000000000000001,10-03-13,10-03-13,03.10.2013,12:07:25 AM
4E000,Wahlkreis Mühlviertel,217865,180795,82.980000000000004,5374,2.9700000000000002,175421,97.030000000000001,43609,24.859999999999999,57854,32.979999999999997,30597,17.440000000000001,5555,3.1699999999999999,21151,12.06,7837,4.4699999999999998,5263,3,1373,0.78000000000000003,1167,0.67000000000000004,708,0.40000000000000002,307,0.17999999999999999,9-29-13,10-03-13,03.10.2013,12:08:22 AM
4E099,Wahlkarten Mühlviertel,0,659,0,9,1.3700000000000001,650,98.629999999999995,96,14.77,139,21.379999999999999,88,13.539999999999999,12,1.8500000000000001,205,31.539999999999999,29,4.46,51,7.8499999999999996,15,2.3100000000000001,13,2,0,0,2,0.31,10-03-13,10-03-13,03.10.2013,12:08:22 AM
40100,Stadt Linz,140809,100357,71.269999999999996,1895,1.8899999999999999,98462,98.109999999999999,33229,33.75,14959,15.19,19092,19.390000000000001,2755,2.7999999999999998,16826,17.09,4191,4.2599999999999998,4705,4.7800000000000002,920,0.93000000000000005,1405,1.4299999999999999,202,0.20999999999999999,178,0.17999999999999999,9-29-13,9-30-13,30.9.2013,4:59:55 PM
40101,Linz,140809,87131,61.880000000000003,1671,1.9199999999999999,85460,98.079999999999998,29562,34.590000000000003,12349,14.449999999999999,17409,20.370000000000001,2463,2.8799999999999999,13674,16,3702,4.3300000000000001,3986,4.6600000000000001,792,0.93000000000000005,1216,1.4199999999999999,167,0.20000000000000001,140,0.16,9-29-13,9-29-13,29.9.2013,8:02:06 PM
40199,Wahlkarten Linz,0,13226,0,224,1.6899999999999999,13002,98.310000000000002,3667,28.199999999999999,2610,20.07,1683,12.94,292,2.25,3152,24.239999999999998,489,3.7599999999999998,719,5.5300000000000002,128,0.97999999999999998,189,1.45,35,0.27000000000000002,38,0.28999999999999998,9-30-13,9-30-13,30.9.2013,4:59:55 PM
40200,Stadt Steyr                         ,28386,20630,72.680000000000007,387,1.8799999999999999,20243,98.120000000000005,7764,38.350000000000001,2501,12.35,4382,21.649999999999999,653,3.23,2609,12.890000000000001,1152,5.6900000000000004,735,3.6299999999999999,152,0.75,205,1.01,54,0.27000000000000002,36,0.17999999999999999,9-29-13,9-30-13,30.9.2013,12:33:27 AM
40201,Steyr             ,28386,18660,65.739999999999995,345,1.8500000000000001,18315,98.150000000000006,7125,38.899999999999999,2107,11.5,4144,22.629999999999999,611,3.3399999999999999,2198,12,1068,5.8300000000000001,649,3.54,147,0.80000000000000004,190,1.04,51,0.28000000000000003,25,0.14000000000000001,9-29-13,9-29-13,29.9.2013,8:00:34 PM
40299,Wahlkarten Steyr                         ,0,1970,0,42,2.1299999999999999,1928,97.870000000000005,639,33.140000000000001,394,20.440000000000001,238,12.34,42,2.1800000000000002,411,21.32,84,4.3600000000000003,86,4.46,5,0.26000000000000001,15,0.78000000000000003,3,0.16,11,0.56999999999999995,9-30-13,9-30-13,30.9.2013,12:33:27 AM
40300,Stadt Wels                          ,40671,29490,72.510000000000005,451,1.53,29039,98.469999999999999,9434,32.490000000000002,4171,14.359999999999999,7857,27.059999999999999,963,3.3199999999999998,3651,12.57,1330,4.5800000000000001,1066,3.6699999999999999,221,0.76000000000000001,230,0.79000000000000004,68,0.23000000000000001,48,0.17000000000000001,9-29-13,9-30-13,30.9.2013,11:56:50 AM
40301,Wels,40671,26608,65.420000000000002,411,1.54,26197,98.459999999999994,8613,32.880000000000003,3625,13.84,7365,28.109999999999999,894,3.4100000000000001,3048,11.630000000000001,1199,4.5800000000000001,942,3.6000000000000001,201,0.77000000000000002,206,0.79000000000000004,62,0.23999999999999999,42,0.16,9-29-13,9-30-13,30.9.2013,11:54:49 AM
40399,Wahlkarten Wels                          ,0,2882,0,40,1.3899999999999999,2842,98.609999999999999,821,28.890000000000001,546,19.210000000000001,492,17.309999999999999,69,2.4300000000000002,603,21.219999999999999,131,4.6100000000000003,124,4.3600000000000003,20,0.69999999999999996,24,0.83999999999999997,6,0.20999999999999999,6,0.20999999999999999,9-30-13,9-30-13,30.9.2013,11:56:50 AM
40400,Bezirk Braunau am Inn                ,75446,54847,72.700000000000003,1555,2.8399999999999999,53292,97.159999999999997,12739,23.899999999999999,15262,28.640000000000001,13426,25.190000000000001,1891,3.5499999999999998,5053,9.4800000000000004,2651,4.9699999999999998,1365,2.5600000000000001,369,0.68999999999999995,277,0.52000000000000002,181,0.34000000000000002,78,0.14999999999999999,9-29-13,10-01-13,01.10.2013,3:42:20 PM
40401,Altheim                       ,3806,2642,69.420000000000002,82,3.1000000000000001,2560,96.900000000000006,732,28.59,595,23.239999999999998,751,29.34,93,3.6299999999999999,187,7.2999999999999998,115,4.4900000000000002,60,2.3399999999999999,11,0.42999999999999999,9,0.34999999999999998,6,0.23000000000000001,1,0.040000000000000001,9-29-13,9-29-13,29.9.2013,5:43:43 PM
40402,Aspach                        ,1966,1366,69.480000000000004,44,3.2200000000000002,1322,96.780000000000001,203,15.359999999999999,549,41.530000000000001,321,24.280000000000001,48,3.6299999999999999,91,6.8799999999999999,64,4.8399999999999999,24,1.8200000000000001,10,0.76000000000000001,3,0.23000000000000001,7,0.53000000000000003,2,0.14999999999999999,9-29-13,9-29-13,29.9.2013,2:42:53 PM
40403,Auerbach                      ,403,315,78.159999999999997,11,3.4900000000000002,304,96.510000000000005,17,5.5899999999999999,137,45.07,103,33.880000000000003,7,2.2999999999999998,20,6.5800000000000001,9,2.96,3,0.98999999999999999,3,0.98999999999999999,0,0,5,1.6399999999999999,0,0,9-29-13,9-29-13,29.9.2013,1:18:51 PM
40404,Braunau am Inn                ,12066,7021,58.189999999999998,143,2.04,6878,97.959999999999994,2270,33,1098,15.960000000000001,1802,26.199999999999999,269,3.9100000000000001,810,11.779999999999999,309,4.4900000000000002,194,2.8199999999999998,51,0.73999999999999999,49,0.70999999999999996,16,0.23000000000000001,10,0.14999999999999999,9-29-13,9-29-13,29.9.2013,6:57:47 PM
40405,Burgkirchen                   ,2026,1371,67.670000000000002,39,2.8399999999999999,1332,97.159999999999997,239,17.940000000000001,494,37.090000000000003,319,23.949999999999999,54,4.0499999999999998,121,9.0800000000000001,59,4.4299999999999997,30,2.25,10,0.75,4,0.29999999999999999,0,0,2,0.14999999999999999,9-29-13,9-29-13,29.9.2013,3:31:40 PM
40406,Eggelsberg                    ,1756,1147,65.319999999999993,42,3.6600000000000001,1105,96.340000000000003,190,17.190000000000001,327,29.59,325,29.41,34,3.0800000000000001,101,9.1400000000000006,61,5.5199999999999996,42,3.7999999999999998,12,1.0900000000000001,7,0.63,4,0.35999999999999999,2,0.17999999999999999,9-29-13,9-29-13,29.9.2013,4:38:25 PM
40407,Feldkirchen bei Mattighofen   ,1546,1037,67.079999999999998,45,4.3399999999999999,992,95.659999999999997,128,12.9,340,34.270000000000003,314,31.649999999999999,32,3.23,83,8.3699999999999992,53,5.3399999999999999,17,1.71,12,1.21,5,0.5,6,0.59999999999999998,2,0.20000000000000001,9-29-13,9-29-13,29.9.2013,4:06:35 PM
40408,Franking                      ,715,450,62.939999999999998,15,3.3300000000000001,435,96.670000000000002,78,17.93,165,37.93,104,23.91,19,4.3700000000000001,29,6.6699999999999999,19,4.3700000000000001,17,3.9100000000000001,1,0.23000000000000001,2,0.46000000000000002,1,0.23000000000000001,0,0,9-29-13,9-29-13,29.9.2013,1:08:42 PM
40409,Geretsberg                    ,848,530,62.5,17,3.21,513,96.790000000000006,80,15.59,202,39.380000000000003,123,23.98,13,2.5299999999999998,47,9.1600000000000001,23,4.4800000000000004,15,2.9199999999999999,7,1.3600000000000001,0,0,1,0.19,2,0.39000000000000001,9-29-13,9-29-13,29.9.2013,3:31:48 PM
40410,Gilgenberg am Weilhart        ,1006,666,66.200000000000003,16,2.3999999999999999,650,97.599999999999994,70,10.77,269,41.380000000000003,164,25.23,20,3.0800000000000001,49,7.54,50,7.6900000000000004,16,2.46,5,0.77000000000000002,5,0.77000000000000002,0,0,2,0.31,9-29-13,9-29-13,29.9.2013,2:26:37 PM
